idprodottofitosanitario,etichetta,nome,impresa,stato,scadenza,quantita,funzione,forma,avversita,temporientro,tempocarenza,pericolo
1,https://www.winbdf.it/bdf-archivi/etichette1/16461.pdf,"Centurion 240 Neo","Arysta LifeScience S.A.S.",attivo,2023-05-31,5l,erbicida,concentrato,"giavone; sanguinella; avena selvatica; fienarola; setaria; sorghetta; falaride; forasacco",7,100,"H304; H317; H336; H412"
2,https://www.biogard.it/images/PDF/italiano/label/HELIOCUIVRE_5L.pdf,Heliocuivre,"Action Pin S.A.",attivo,2025-12-31,10l,fungicida,concentrato,"ticchiolatura; cancro del legno; colpo di fuoco; lebbra; fumaggine; monilia; batteriosi; alternaria;  peronospora",2,20,"H302; H315; H318; H400; H410"
3,https://www.agro.basf.it/Documents/ETICHETTE/PRIAXOR_17003_etichetta_DD-07.12.2017.pdf,Priaxor,"Basf Italia S.P.A.",attivo,2022-12-31,5l,fungicida,concentrato,"septoria; ruggine bruna; ruggine gialla; ruggine nera; oidio; rincosporiosi; maculatura; ramularia",21,35,"H332; H302; H335; H351; H400; H410"
4,http://www.farmaexport.it/public/allegati_prod/Etichetta_2018-05-07_17-24-20.pdf,"Matacar FL","Sipcam Italia S.P.A.",attivo,2024-05-31,1l,acaricida,concentrato,"ragnetto rosso comune; ragnetto rosso delle piante da frutto; ragnetto giallo della vite; ragnetto rosso degli agrumi; acari",2,34,H410
5,https://shopping.agrimag.it/it/allegato/646/microthiol-disperss-etichetta.pdf?url=https%3A%2F%2Fres.cloudinary.com%2Fagrimag%2Fimage%2Fupload%2Fv1573480291%2Fproduct%2Fit%2F646%2Fadblw92vlqvvzsddtulb.pdf,"Microthiol Disperss","UPL Europe LTD",attivo,2002-12-31,25kg,fungicida,polvere,oidio,2,6,EUH401
6,http://www.fitosanitari.salute.gov.it/fitosanitariwsWeb_new/EtichettaServlet?id=25395,Afromyl,"Industrias Afrasa S.A.",attivo,2021-01-31,10l,nematocida,liquido,galligeni,20,21,"H300; H330; H411"
7,https://www.corteva.it/content/dam/dpagco/corteva/eu/it/it/products/files/DF_Vydate_10_G-label.pdf,"Vydate 10G","Du Pont De Nemours Italiana S.R.L.",attivo,2021-01-31,20kg,nematocida,polvere,"galligeni; cisticoli",1,1,"H301; H331; H410; EUH401"
8,https://shopping.agrimag.it/it/allegato/1527/xentari-wg-etichetta.pdf?url=https%3A%2F%2Fres.cloudinary.com%2Fagrimag%2Fimage%2Fupload%2Fv1575969271%2Fproduct%2Fit%2F1527%2Fetichetta.pdf,"XenTari WG","Sumitomo Chemical Agro Europe S.A.S.",attivo,2021-04-30,5kg,insetticida,polvere,"falena; tignola; tignoletta; piralide; eula; ifantria; lepidotteri; nottua; nottuidi",1,14,H319
